.vj$,0,200000,0
^.vm,3,199997,1199982
..vj.,11,199989,4399758
^.vk,14,199986,5599608
.vl$,6,199994,2399928
^.vl,41,199959,16396638
^.vj,1,199999,399998
..vl.,230,199770,91894200
.vh$,0,200000,0
..vh.,22,199978,8799032
^.vh,2,199998,799992
..vg.,27,199973,10798542
..vi.,3810,196190,1494967800
^.vi,217,199783,86705822
.vi$,433,199567,172825022
^.vg,16,199984,6399488
^.vf,8,199992,3199872
.vf$,0,200000,0
..vf.,16,199984,6399488
.vg$,0,200000,0
.vd$,2,199998,799992
..vd.,74,199926,29589048
^.vd,8,199992,3199872
.ve$,280,199720,111843200
^.ve,366,199634,146132088
..vc.,62,199938,24792312
..ve.,4573,195427,1787375342
..vb.,44,199956,17596128
^.vc,8,199992,3199872
.vc$,0,200000,0
.vb$,0,200000,0
^.vb,21,199979,8399118
.uz$,15,199985,5999550
.va$,587,199413,234110862
..uz.,568,199432,226554752
^.uz,143,199857,57159102
..va.,7211,192789,2780402958
.uy$,6,199994,2399928
^.va,304,199696,121415168
^.uy,64,199936,25591808
..uy.,99,199901,39580398
.uy$,6,199994,2399928
^.uy,64,199936,25591808
^.u.,14432,185568,5356234752
.uw$,4,199996,1599968
..uw.,228,199772,91096032
..uy.,99,199901,39580398
.u.$,24410,175590,8572303800
^.uw,29,199971,11598318
..u..,40521,159479,12924497118
.uv$,88,199912,35184512
..uv.,344,199656,137363328
^.uv,83,199917,33186222
.uu$,3,199997,1199982
..uu.,143,199857,57159102
^.uu,27,199973,10798542
^.ut,809,199191,322291038
..ut.,3075,196925,1211088750
.ut$,95,199905,37981950
.uq$,0,200000,0
^.uq,20,199980,7999200
..uq.,31,199969,12398078
.us$,15149,184851,5600615598
..ur.,4905,195095,1913881950
.ur$,168,199832,67143552
^.us,1494,198506,593135928
..us.,3807,196193,1493813502
.up$,26,199974,10398648
^.ur,1974,198026,781806648
..up.,1182,198818,470005752
^.up,592,199408,236099072
.uo$,16,199984,6399488
..uo.,270,199730,107854200
^.uo,92,199908,36783072
.um$,7988,192012,3067583712
.un$,35,199965,13997550
..un.,4936,195064,1925671808
^.um,625,199375,249218750
^.un,1197,198803,475934382
..um.,2064,197936,817079808
..uk.,1077,198923,428480142
.ul$,49,199951,19595198
..ul.,6030,193970,2339278200
.uj$,129,199871,51566718
..uj.,2225,197775,880098750
^.uk,207,199793,82714302
.uk$,22,199978,8799032
^.ul,1392,198608,552924672
^.uj,70,199930,27990200
..uh.,375,199625,149718750
.uh$,12,199988,4799712
^.uh,115,199885,45973550
.ug$,56,199944,22393728
.uf$,14,199986,5599608
..ui.,1388,198612,551346912
..ug.,908,199092,361551072
^.ug,445,199555,177603950
.ui$,174,199826,69539448
..uf.,567,199433,226157022
^.ui,418,199582,166850552
^.uf,485,199515,193529550
..ud.,3029,196971,1193250318
.ue$,98,199902,39180792
.ud$,23,199977,9198942
..ue.,1826,198174,723731448
^.ue,409,199591,163265438
.uc$,30,199970,11998200
..uc.,2627,197373,1036997742
^.ud,498,199502,198703992
.ub$,20,199980,7999200
..ub.,1071,198929,426105918
^.uc,718,199282,286168952
^.ub,1864,198136,738651008
^.tz,6,199994,2399928
.ua$,159,199841,63549438
..ua.,1345,198655,534381950
^.ua,609,199391,242858238
..tz.,855,199145,340537950
.ty$,176,199824,70338048
..ty.,2391,197609,944966238
.tz$,91,199909,36383438
^.ty,226,199774,90297848
.ty$,176,199824,70338048
.tw$,10,199990,3999800
..ty.,2391,197609,944966238
..tw.,439,199561,175214558
^.t.,4573,195427,1787375342
^.ty,226,199774,90297848
.t.$,10716,189284,4056734688
^.tw,8,199992,3199872
.tv$,3,199997,1199982
^.tv,36,199964,14397408
..t..,72018,127982,18434015352
..tv.,412,199588,164460512
.tu$,100,199900,39980000
^.tu,182,199818,72733752
..tu.,7014,192986,2707207608
